measurement time [s],180.173333
ADC [ch],count
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,1.0
10.0,33.0
11.0,37.0
12.0,42.0
13.0,34.0
14.0,43.0
15.0,49.0
16.0,56.0
17.0,61.0
18.0,58.0
19.0,58.0
20.0,51.0
21.0,52.0
22.0,69.0
23.0,57.0
24.0,70.0
25.0,69.0
26.0,69.0
27.0,66.0
28.0,59.0
29.0,77.0
30.0,88.0
31.0,65.0
32.0,109.0
33.0,107.0
34.0,92.0
35.0,95.0
36.0,107.0
37.0,107.0
38.0,115.0
39.0,147.0
40.0,133.0
41.0,152.0
42.0,152.0
43.0,149.0
44.0,174.0
45.0,189.0
46.0,214.0
47.0,197.0
48.0,227.0
49.0,210.0
50.0,218.0
51.0,213.0
52.0,210.0
53.0,233.0
54.0,232.0
55.0,228.0
56.0,243.0
57.0,262.0
58.0,220.0
59.0,231.0
60.0,254.0
61.0,236.0
62.0,241.0
63.0,229.0
64.0,222.0
65.0,237.0
66.0,228.0
67.0,263.0
68.0,270.0
69.0,276.0
70.0,284.0
71.0,250.0
72.0,247.0
73.0,247.0
74.0,239.0
75.0,257.0
76.0,247.0
77.0,252.0
78.0,268.0
79.0,235.0
80.0,238.0
81.0,251.0
82.0,253.0
83.0,229.0
84.0,228.0
85.0,232.0
86.0,226.0
87.0,239.0
88.0,223.0
89.0,216.0
90.0,202.0
91.0,224.0
92.0,211.0
93.0,197.0
94.0,199.0
95.0,203.0
96.0,222.0
97.0,193.0
98.0,198.0
99.0,191.0
100.0,194.0
101.0,194.0
102.0,212.0
103.0,162.0
104.0,180.0
105.0,163.0
106.0,192.0
107.0,185.0
108.0,195.0
109.0,181.0
110.0,172.0
111.0,191.0
112.0,190.0
113.0,182.0
114.0,158.0
115.0,175.0
116.0,160.0
117.0,177.0
118.0,157.0
119.0,145.0
120.0,160.0
121.0,182.0
122.0,120.0
123.0,151.0
124.0,187.0
125.0,189.0
126.0,147.0
127.0,146.0
128.0,165.0
129.0,139.0
130.0,157.0
131.0,136.0
132.0,128.0
133.0,130.0
134.0,139.0
135.0,150.0
136.0,110.0
137.0,129.0
138.0,141.0
139.0,139.0
140.0,113.0
141.0,120.0
142.0,129.0
143.0,115.0
144.0,140.0
145.0,125.0
146.0,120.0
147.0,115.0
148.0,98.0
149.0,113.0
150.0,102.0
151.0,110.0
152.0,95.0
153.0,78.0
154.0,113.0
155.0,93.0
156.0,92.0
157.0,75.0
158.0,96.0
159.0,106.0
160.0,93.0
161.0,87.0
162.0,93.0
163.0,98.0
164.0,91.0
165.0,89.0
166.0,77.0
167.0,81.0
168.0,87.0
169.0,84.0
170.0,74.0
171.0,70.0
172.0,70.0
173.0,79.0
174.0,82.0
